"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","category","activity","subtype","place_stayed","nights","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","Garden visit or flower show",NA,"Waikato District",50,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","Hot pools",NA,"Taupo District",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A beach",NA,"New Plymouth District",6,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Experiences","A public museum or art gallery","Other public museum or art gallery in the North Island","Dunedin City",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A beach",NA,"Rotorua District",5,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","Hot pools",NA,"Waikato District",50,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A beach",NA,"Christchurch City",3,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A national park","Mt Cook / Aoraki","Dunedin City",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","Other natural attraction (e.g. mountain, lake, river, forest, etc.)",NA,"Taupo District",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A beach",NA,"Taupo District",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A national park","Egmont, Mt Taranaki","New Plymouth District",6,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Activities","Jet-boating",NA,"New Plymouth District",6,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","Brewery, Gin, Vineyard / wine trail",NA,"Dunedin City",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Performances","None of these",NA,"Rotorua District",5,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","Places","A national park","Egmont, Mt Taranaki","Taupo District",2,"No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
