"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1055593","French Polynesia","Rest of Oceania","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"45 - 49","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela"
"GEN24_1055716","England","UK","Female","No","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Sailing"
"GEN24_1055829","United States of America","USA","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"65 - 69","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Clean air, always felt safe"
"GEN24_1055866","Australia","Australia","Male","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Fishing"
"GEN24_1055915","Australia","Australia","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"75 or older","Other","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Wanaka warbirds air show"
"GEN24_1055925","Australia","Australia","Male","Yes","Other","For some other reason","What the visit to NZ cost just for yourself",NA,NA,"20 - 24","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Meeting the New Zealand Rover Scout  and being at the 81st New Zealand Rover Scout Moot"
"GEN24_1055986","Australia","Australia","Male","Yes","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","Holiday / vacation","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","4","Winyards"
"GEN24_1056063","Australia","Australia","Male","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"50 - 54","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Mount bike riding"
"GEN24_1056112","United States of America","USA","Male","No","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Lord of the Rings movie sites"
"GEN24_1056160","United States of America","USA","Male","No","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",3,0,"60 - 64","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Surfing"
"GEN24_1056266","Singapore","Rest of Asia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"65 - 69","No other reason","3 - Acceptable","Not sure","5","nice cool weather"
"GEN24_1056291","New Caledonia","Rest of Oceania","Male","No","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"Under 20","Business","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Luge at Skyline Rotorua"
"GEN24_1056473","England","UK","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"75 or older","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Very clean and tidy in comparison to the UK!!"
"GEN24_1056533","England","UK","Male","No","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",2,0,"55 - 59","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Fishing"
"GEN24_1056620","Australia","Australia","Male","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,3,"40 - 44","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Very educational for kids"
"GEN24_1056746","Australia","Australia","Female","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"60 - 64","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Campervan Park Facilities, both Top 10 and Independent"
"GEN24_1056795","United States of America","USA","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"65 - 69","Other","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7","Hunting lodge & service"
"GEN24_1056870","Australia","Australia","Female","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",1,2,"45 - 49","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The activities"
