response_id,satisfaction_reason
GEN24_1055593,Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela
GEN24_1055716,Sailing
GEN24_1055717,Swimming at various beaches around the Waitemata Harbour
GEN24_1055829,"Clean air, always felt safe"
GEN24_1055866,Fishing
GEN24_1055915,Wanaka warbirds air show
GEN24_1055925,Meeting the New Zealand Rover Scout  and being at the 81st New Zealand Rover Scout Moot
GEN24_1055986,Winyards
GEN24_1056063,Mount bike riding
GEN24_1056112,Lord of the Rings movie sites
GEN24_1056160,Surfing
GEN24_1056266,nice cool weather
GEN24_1056291,Luge at Skyline Rotorua
GEN24_1056473,Very clean and tidy in comparison to the UK!!
GEN24_1056533,Fishing
GEN24_1056620,Very educational for kids
GEN24_1056746,"Campervan Park Facilities, both Top 10 and Independent"
GEN24_1056795,Hunting lodge & service
GEN24_1056822,Cycling
GEN24_1056870,The activities
GEN24_1056944,I once lived in NZ and enjoyed seeing how much it had changed but also felt so at home upon my return. My daughter is currently living in Gisborne on a youth visa
GEN24_1056963,Safety & Security
GEN24_1057048,Skydive availability & Helicopter landing on Glasier
GEN24_1057053,Rotorua Luge
GEN24_1057088,Wings over Wanaka
GEN24_1057142,Your mums house
GEN24_1057216,"We were very impressed that there were toilets in every village/ town, even in picnic places etc (though some were an experience). Very impressed with free parking everywhere except cities"
GEN24_1057421,Cycling trails and road
GEN24_1057450,Milford Sound
GEN24_1057496,Kunst und Second-hand-Kultur
GEN24_1057607,Hobbiton
GEN24_1057637,Hobbiton
GEN24_1057752,The Wildlife / Birds
GEN24_1057843,Cycle lanes
GEN24_1057953,Staying in New Brighton
GEN24_1058016,The public toilets - plentiful and so clean and well cared for
GEN24_1058299,Visited Parliament and had the opportunity to watch a question and answer session. Very cool
GEN24_1058376,No tipping.
GEN24_1058597,ショッピング
GEN24_1058752,LESMILLSのインストラクター
GEN24_1058912,Cycling tour A2O
GEN24_1058995,Auckland Zoo
GEN24_1059174,"Activities including canyon swing, kayaking, quad biking etc"
GEN24_1059180,Seeing my grandchildren and visiting my son
GEN24_1059235,Natural reserve and serenity
GEN24_1059393,Quality of roads
GEN24_1059422,La sécurité
GEN24_1059744,University Graduation
GEN24_1059785,Fishing
GEN24_1059831,Les toilettes
GEN24_1059879,Penguins
GEN24_1060039,LOTR sites
GEN24_1060170,Fishing
GEN24_1060677,Local shopping
GEN24_1060788,The birds! (Specifically came to the North Island twice for the Petrel Station tour)
GEN24_1060812,Pukekura Park
GEN24_1061001,Hunting
